"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,0,4.41,"ya, currently-reading",currently-reading,42,
Half Baked Harvest Cookbook: Recipes from My Barn in the Mountains,Tieghan Gerard,0,4.32,"to-read, cooking",to-read,0,
"Half Baked Harvest Every Day: Recipes for Balanced, Flexible, Feel-Good Meals",Tieghan Gerard,0,4.42,"to-read, cooking",to-read,0,
The Food Lab: Better Home Cooking Through Science,J. Kenji López-Alt,0,4.25,"to-read, cooking",to-read,0,
Dessert Person: Recipes and Guidance for Baking with Confidence: A Baking Book,Claire Saffitz,0,3.85,"to-read, cooking",to-read,0,
"The Flavor Bible: The Essential Guide to Culinary Creativity, Based on the Wisdom of America's Most Imaginative Chefs",Andrew Dornenburg,0,4.01,"to-read, cooking",to-read,0,
The Diary of a Young Girl,Anne Frank,0,4.18,bio,read,100,
Normal People,Sally Rooney,0,3.81,to-read,to-read,0,
The Anthropocene Reviewed,John Green,0,4.37,bio,read,100,
"Mixtape Potluck Cookbook: A Dinner Party for Friends, Their Recipes, and the Songs They Inspire","Ahmir ""Questlove"" Thompson",0,3.75,"to-read, cooking",to-read,0,
Eat What You Watch: A Cookbook for Movie Lovers,Andrew Rea,0,4.24,"to-read, cooking",to-read,0,
The Unqualified Hostess: I do it my way so you can too!,Whoopi Goldberg,0,3.99,"to-read, cooking",to-read,0,
The Art of the Bar Cart: Styling & Recipes,Vanessa Dina,0,4.03,"to-read, cooking",to-read,0,
The Art of Gathering: How We Meet and Why It Matters,Priya Parker,0,4.01,"to-read, personal-growth",to-read,0,
"Tarot of the Divine: A Deck and Guidebook Inspired by Deities, Folklore, and Fairy Tales from Around the World: Tarot Cards",Yoshi Yoshitani,0,4.72,to-read,to-read,0,
Tarot of the Divine Handbook: A Guide to Understanding Tarot Symbolism,Yoshi Yoshitani,0,4,to-read,to-read,0,
"Beneath the Moon: Fairy Tales, Myths, and Divine Stories from Around the World",Yoshi Yoshitani,0,4.21,to-read,to-read,0,
See You on Sunday: A Cookbook for Family and Friends,Sam Sifton,0,3.9,"to-read, cooking",to-read,0,
Sunday Suppers: Recipes + Gatherings: A Cookbook,Karen Mordechai,0,3.68,"to-read, cooking",to-read,0,
Batch Cocktails: Make-Ahead Pitcher Drinks for Every Occasion,Maggie Hoffman,0,4.07,"to-read, cooking",to-read,0,
Graze: Inspiration for Small Plates and Meandering Meals: A Charcuterie Cookbook,Suzanne Lenzer,0,3.55,"cooking, to-read",to-read,0,
The Maid,Nita Prose,0,3.82,"to-read, fiction",to-read,0,
Daisy Jones & the Six,Taylor Jenkins Reid,0,4.24,"to-read, fiction",to-read,0,
Spare,Prince Harry,0,3.97,"to-read, bio",to-read,0,
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,0,3.96,"to-read, personal-growth",to-read,0,
Recipe for Disaster: 40 Superstar Stories of Sustenance and Survival,Alison Riley,0,3.38,"to-read, cooking",to-read,0,
Cooking with Shereen―Rockstar Dinners!,Shereen Pavlides,0,4.5,"to-read, cooking",to-read,0,
20-40-60-Minute Dinners: Meals to Match the Time You Have,Kate Otterstrom,0,3.58,"to-read, cooking",to-read,0,
"For The Culture: Phenomenal Black Women and Femmes in Food: Interviews, Inspiration, and Recipes",Klancy Miller,0,0,"to-read, cooking",to-read,0,
"The Flavor Thesaurus: More Flavors: Plant-Led Pairings, Recipes, and Ideas for Cooks",Niki Segnit,0,3.88,"to-read, cooking",to-read,0,
White Tears/Brown Scars: How White Feminism Betrays Women of Color,Ruby Hamad,0,4.57,"to-read, theory",to-read,0,
The Office BFFs: Tales of The Office from Two Best Friends Who Were There,Jenna Fischer,0,4.25,"to-read, bio",to-read,0,
Becoming,Michelle Obama,0,4.48,"to-read, bio",to-read,0,
A Promised Land,Barack Obama,0,4.35,"to-read, bio",to-read,0,
I'm Glad My Mom Died,Jennette McCurdy,0,4.52,"to-read, bio",to-read,0,
Born a Crime: Stories From a South African Childhood,Trevor Noah,0,4.49,"to-read, bio",to-read,0,
Crying in H Mart,Michelle Zauner,0,4.29,"to-read, bio",to-read,0,
We Should All Be Feminists,Chimamanda Ngozi Adichie,0,4.41,theory,read,100,
Gordon Ramsay's Ultimate Cookery Course,Gordon Ramsay,0,4.26,"to-read, cooking",to-read,0,
Cooking Like a Master Chef: 100 Recipes to Make the Everyday Extraordinary,Graham Elliot,0,3.72,"to-read, cooking",to-read,0,
Cook Real Hawai'i: A Cookbook,Sheldon Simeon,0,4.4,"to-read, cooking",to-read,0,
"Chinese Heritage Cooking From My American Kitchen: Discover Authentic Flavors with Vibrant, Modern Recipes",Shirley Chung,0,3.85,"to-read, cooking",to-read,0,
So Good: 100 Recipes from My Kitchen to Yours,Richard Blais,0,3.42,"to-read, cooking",to-read,0,
Hangover Helper: Delicious Cures from Around the World,Lauren Shockey,0,4.14,cooking,read,100,
"Mocktail Party: 75 Plant-Based, Non-Alcoholic Recipes for Every Occasion",Kerry Benson,0,4.14,"to-read, cooking",to-read,0,
"Floral Libations: 41 Fragrant Drinks + Ingredients (Flower Cocktails, Non-Alcoholic and Alcoholic Mixed Drinks and Mocktails Recipe Book)",Cassie Winslow,0,4.05,"to-read, cooking",to-read,0,
Braiding Sweetgrass,Robin Wall Kimmerer,0,4.56,"to-read, theory",to-read,0,
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,0,3.95,"to-read, personal-growth",to-read,0,
"Set Boundaries, Find Peace: A Guide to Reclaiming Yourself",Nedra Glover Tawwab,0,4.31,"to-read, personal-growth",to-read,0,
Cooking with Trader Joe's Cookbook: 5-Ingredient Cookbook,Deana Gunn,0,3.88,cooking,read,100,
Cooking with All Things Trader Joe's Cookbook,Deana Gunn,0,3.59,cooking,read,100,
"The Essential,Cookbook: Classic Recipes for a New Century",Amanda Hesser,0,4.12,cooking,read,100,
milk and honey,Rupi Kaur,4,4,poetry,read,100,
All About Love: New Visions,bell hooks,0,4.09,"to-read, theory",to-read,0,
"Communion: The Female Search for Love (Love Song to the Nation, 2)",bell hooks,0,4.35,"to-read, theory",to-read,0,
The Tragedy of Heterosexuality,Jane Ward,0,4.19,"to-read, theory",to-read,0,
Feminism Is for Everybody: Passionate Politics,bell hooks,0,4.15,"to-read, theory",to-read,0,
Feminist Theory: From Margin to Center,bell hooks,0,4.43,"to-read, theory",to-read,0,
Big Fish,Daniel Wallace,0,3.68,"to-read, fiction",to-read,0,
The Troop,Nick Cutter,0,3.84,"to-read, fiction",to-read,0,
theMystery.doc,Matthew  McIntosh,0,2.98,"to-read, fiction",to-read,0,
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,0,4.06,"to-read, fiction",to-read,0,
Cult Classic,Sloane Crosley,0,3.38,"to-read, fiction",to-read,0,
Horrorstör,Grady Hendrix,0,3.66,"to-read, fiction",to-read,0,
Tree of Codes,Jonathan Safran Foer,0,3.85,"to-read, fiction",to-read,0,
Ship of Theseus,J.J. Abrams,0,3.87,"to-read, fiction",to-read,0,
"Illuminae (The Illuminae Files, #1)",Amie Kaufman,0,4.25,"to-read, fiction",to-read,0,
House of Leaves,Mark Z. Danielewski,0,4.09,"to-read, else",to-read,0,
permission to love,Karlee Rose North,0,4.13,"to-read, poetry",to-read,0,
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,0,4.21,"to-read, theory",to-read,0,
"Women, Race & Class",Angela Y. Davis,0,4.57,"to-read, theory",to-read,0,
Everything I Need I Get from You: How Fangirls Created the Internet as We Know It,Kaitlyn Tiffany,0,3.64,"to-read, else",to-read,0,
Cultish: The Language of Fanaticism,Amanda Montell,0,3.94,"to-read, else",to-read,0,
The Motherhood Penalty,Joeli Brearley,0,4.51,"to-read, theory",to-read,0,
They Were Her Property: White Women as Slave Owners in the American South,Stephanie E. Jones-Rogers,0,4.29,"to-read, theory",to-read,0,
The Combahee River Collective Statement: Black Feminist Organizing In The Seventies and Eighties,Combahee River Collective,0,4.71,"to-read, theory",to-read,0,
Noopiming: The Cure for White Ladies,Leanne Betasamosake Simpson,0,4.28,"to-read, theory",to-read,0,
Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall,0,4.39,"to-read, theory",to-read,0,
"Gender Trends in Southeast Asia: Women Now, Women in the Future",Theresa W. Devasahayam,0,3,"to-read, theory",to-read,0,
Ain't I a Woman: Black Women and Feminism,bell hooks,0,4.49,"to-read, theory",to-read,0,
Careering,Daisy Buchanan,0,3.41,"to-read, personal-growth",to-read,0,
Bi The Way: The Bisexual Guide to Life,Lois Shearing,0,3.55,"to-read, personal-growth",to-read,0,
"You’re Not Broke, You’re Pre-Rich",Emilie Bellet,0,4.14,"to-read, personal-growth",to-read,0,
How to Grow Through What You Go Through: Mental maintenance for modern lives,Jodie Cariss,0,4.32,"to-read, personal-growth",to-read,0,
Cleopatra and Frankenstein,Coco Mellors,0,3.9,"to-read, fiction",to-read,0,
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,0,4.26,"to-read, fiction",to-read,0,
Everyone in This Room Will Someday Be Dead,Emily R. Austin,0,3.87,"to-read, fiction",to-read,0,
Yerba Buena,Nina LaCour,0,3.92,"to-read, fiction",to-read,0,
How to Be Eaten,Maria Adelmann,0,3.67,"to-read, fiction",to-read,0,
Spineless: The Science of Jellyfish and the Art of Growing a Backbone,Juli Berwald,0,3.73,"to-read, personal-growth",to-read,0,
"The Nature Fix: Why Nature Makes Us Happier, Healthier, and More Creative",Florence  Williams,0,3.98,"to-read, personal-growth",to-read,0,
Writers & Lovers,Lily King,0,4.04,"to-read, fiction",to-read,0,
Smoke Gets in Your Eyes & Other Lessons from the Crematory,Caitlin Doughty,0,4.21,"to-read, else",to-read,0,
Loose Woman,Sandra Cisneros,0,4.22,"to-read, else",to-read,0,
H is for Hawk,Helen Macdonald,0,3.74,"to-read, else",to-read,0,
On Trails: An Exploration,Robert Moor,0,3.96,"to-read, else",to-read,0,
The Last True Poets of the Sea,Julia Drake,0,3.93,"to-read, else",to-read,0,
Mutual Aid: Building Solidarity in This Crisis (And the Next),Dean Spade,0,4.41,"to-read, theory",to-read,0,
A Decolonial Feminism,Françoise Vergès,0,4.34,"to-read, theory",to-read,0,
The Care Manifesto: The Politics of Interdependence,The Care Collective,0,3.83,"to-read, theory",to-read,0,
Without Apology: The Abortion Struggle Now,Jenny     Brown,0,4.37,"to-read, theory",to-read,0,
Black Wall Street,Hannibal B. Johnson,0,4.05,"to-read, theory",to-read,0,
Black Liberation and Palestine Solidarity,Lenni Brenner,0,3.25,"to-read, theory",to-read,0,
A Terrible Thing to Waste: Environmental Racism and Its Assault on the American Mind,Harriet A. Washington,0,4.08,"to-read, theory",to-read,0,
"The Feminist and the Sex Offender: Confronting Harm, Ending State Violence",Judith Levine,0,3.76,"to-read, theory",to-read,0,
Sister Outsider: Essays and Speeches,Audre Lorde,0,4.53,"to-read, theory",to-read,0,
Medical Apartheid: The Dark History of Medical Experimentation on Black Americans from Colonial Times to the Present,Harriet A. Washington,0,4.42,"to-read, theory",to-read,0,
How to Be Perfect: The Correct Answer to Every Moral Question,Michael Schur,0,4.18,"to-read, else",to-read,0,
Live From New York,Tom Shales,0,4.07,"to-read, else",to-read,0,
Stay and Fight,Madeline Ffitch,0,3.74,"to-read, fiction",to-read,0,
Alias Grace,Margaret Atwood,0,4.04,"to-read, fiction",to-read,0,
The Gift of Fear: Survival Signals That Protect Us from Violence,Gavin de Becker,0,4.17,"to-read, personal-growth",to-read,0,
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,0,4.35,"to-read, fiction",to-read,0,
The Joy of Keeping Chickens: The Ultimate Guide to Raising Poultry for Fun or Profit,Jennifer Megyesi,0,3.81,"to-read, farming",to-read,0,
The Family Cow (Garden Way Publishing Book),Dirk Van Loon,0,4.05,"to-read, farming",to-read,0,
Farm Journal's Freezing and Canning Cookbook: Prized Recipes from the Farms of America,Nell B. Nichols,0,4.37,"to-read, farming",to-read,0,
"Joy of Camping: The Complete Four Seasons, Five Senses Practical Guide to Enjoying the Great Outdoors (Without Destroying It)",Richard W. Langer,0,3.8,"to-read, farming",to-read,0,
Fruits and Berries for the Home Garden,Lewis Hill,0,3.96,"to-read, farming",to-read,0,
Building a StoryBrand: Clarify Your Message So Customers Will Listen,Donald  Miller,0,4.28,"to-read, personal-growth",to-read,0,
The Moment of Lift: How Empowering Women Changes the World,Melinda French Gates,0,4.29,"to-read, personal-growth",to-read,0,
Imperialism: The Highest Stage of Capitalism,Vladimir Lenin,0,4.21,"to-read, theory",to-read,0,
The State and Revolution,Vladimir Lenin,0,4.22,"to-read, theory",to-read,0,
Fascism: What It Is and How to Fight It,Leon Trotsky,0,3.86,"to-read, theory",to-read,0,
The Wretched of the Earth,Frantz Fanon,0,4.29,"to-read, theory",to-read,0,
Freedom is a Constant Struggle,Angela Y. Davis,0,4.4,"to-read, theory",to-read,0,
The Principles of Communism,Friedrich Engels,0,4.01,"to-read, theory",to-read,0,
The Communist Manifesto,Karl Marx,0,3.64,"to-read, theory",to-read,0,
The Autobiography of Malcolm X,Malcolm X,0,4.35,"to-read, theory",to-read,0,
Are Prisons Obsolete?,Angela Y. Davis,0,4.55,"to-read, theory",to-read,0,
Socialism: Utopian and Scientific,Friedrich Engels,0,4.22,"to-read, theory",to-read,0,
Wage Labour and Capital,Karl Marx,0,4.18,"to-read, theory",to-read,0,
Men Explain Things to Me,Rebecca Solnit,0,3.84,"to-read, theory",to-read,0,
A People's History of the United States,Howard Zinn,0,4.07,"to-read, theory",to-read,0,
Takin' It to the Streets: A Sixties Reader,Alexander Bloom,0,3.9,"to-read, theory",to-read,0,
"Blueprint for Revolution: How to Use Rice Pudding, Lego Men, and Other Nonviolent Techniques to Galvanize Communities, Overthrow Dictators, or Simply Change the World",Srdja Popovic,0,4.31,"to-read, theory",to-read,0,
Why Socialism?,Albert Einstein,0,4.13,"to-read, theory",to-read,0,
Revolutionary Suicide,Huey P. Newton,0,4.45,"to-read, theory",to-read,0,
Capitalist Realism: Is There No Alternative?,Mark Fisher,0,4.23,"to-read, theory",to-read,0,
"Black Skin, White Masks",Frantz Fanon,0,4.27,"to-read, theory",to-read,0,
Das Kapital,Karl Marx,0,3.88,"to-read, theory",to-read,0,
Black Power: The Politics of Liberation,Stokely Carmichael,0,4.35,"to-read, theory",to-read,0,
The Reification of Desire: Toward a Queer Marxism,Kevin Floyd,0,3.81,"to-read, queer",to-read,0,
Queer Theory and Native Studies: The Heteronormativity of Settler Colonialism,Andrea      Smith,0,0,"to-read, queer",to-read,0,
Terrorist Assemblages: Homonationalism in Queer Times,Jasbir K. Puar,0,4.15,"to-read, queer",to-read,0,
Disidentifications: Queers of Color and the Performance of Politics,José Esteban Muñoz,0,4.4,"to-read, queer",to-read,0,
"Punks, Bulldaggers, and Welfare Queens: The Radical Potential of Queer Politics?",Cathy J. Cohen,0,4.41,"to-read, queer",to-read,0,
The Rocket Years: How Your Twenties Launch the Rest of Your Life,Elizabeth Segran,0,3.52,"to-read, personal-growth",to-read,0,
Profit and Pleasure: Sexual Identities in Late Capitalism,Rosemary Hennessy,0,3.73,"to-read, queer",to-read,0,
Gender Trouble: Feminism and the Subversion of Identity,Judith Butler,0,4.06,"to-read, queer",to-read,0,
The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,3,4.11,personal-growth,read,100,
The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,David Bach,0,3.94,"to-read, personal-growth",to-read,0,
The Conscious Closet: The Revolutionary Guide to Looking Good While Doing Good,Elizabeth L. Cline,0,4.04,"to-read, personal-growth",to-read,0,
Literally Show Me a Healthy Person,Darcie Wilder,0,3.6,"to-read, personal-growth",to-read,0,
Burnout: The Secret to Unlocking the Stress Cycle,Emily Nagoski,4,3.98,personal-growth,read,100,
"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha    Shannon,0,4.23,"to-read, fiction",to-read,0,
The Queer Art of Failure,J. Jack Halberstam,0,4.07,"to-read, queer",to-read,0,
No Future: Queer Theory and the Death Drive,Lee Edelman,0,3.72,"to-read, queer",to-read,0,
That's Revolting!: Queer Strategies for Resisting Assimilation,Mattilda Bernstein Sycamore,0,4.06,"to-read, queer",to-read,0,
"Girl, Woman, Other",Bernardine Evaristo,0,4.31,"to-read, queer",to-read,0,
Aberrations in Black: Toward a Queer of Color Critique,Roderick A. Ferguson,0,4.32,"to-read, queer",to-read,0,
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,0,4.45,"to-read, fiction",to-read,0,
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,0,4.2,"to-read, fiction",to-read,0,
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,3,3.91,personal-growth,read,100,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,0,3.87,"currently-reading, personal-growth",currently-reading,24,
Who Moved My Cheese?,Spencer Johnson,4,3.86,personal-growth,read,100,
Outliers: The Story of Success,Malcolm Gladwell,0,4.19,"to-read, personal-growth",to-read,0,
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,William H. McRaven,0,4,"to-read, personal-growth",to-read,0,
Bad Gays: A Homosexual History,Huw Lemmey,0,3.61,"to-read, queer",to-read,0,
How to Dry Foods: The Most Complete Guide to Drying Foods at Home,Deanna Delong,0,3.65,"farming, to-read",to-read,0,
All New Square Foot Gardening,Mel Bartholomew,0,4.15,"farming, to-read",to-read,0,
Diet for a Small Planet,Frances Moore Lappé,0,3.96,"farming, to-read",to-read,0,
The Greening of America,Charles A. Reich,0,3.58,"farming, to-read",to-read,0,
Hidden Natural Histories: Herbs: The Secret Properties of 150 Plants,Kim Hurst,0,4.12,"farming, to-read",to-read,0,
A Field Guide to the Insects:  America North of Mexico (Peterson Field Guide Series),Donald J. Borror,0,4.17,"farming, to-read",to-read,0,
Edible & Medicinal Plants of West,Gregory L. Tilford,0,4.29,"farming, to-read",to-read,0,
"1519 All-Natural, All-Amazing Gardening Secrets",Don Earnest,0,4.22,"farming, to-read",to-read,0,
New Complete Guide to Gardening,Better Homes and Gardens,0,3.97,"farming, to-read",to-read,0,
The Encyclopedia of Organic Gardening,Organic Gardening and Farming,0,4.3,"farming, to-read",to-read,0,
"The Backyard Homestead Seasonal Planner: What to Do & When to Do It in the Garden, Orchard, Barn, Pasture & Equipment Shed",Ann Larkin Hansen,0,4.21,"farming, to-read",to-read,0,
"Free-Range Chicken Gardens: How to Create a Beautiful, Chicken-Friendly Yard",Jessi Bloom,0,4.1,"farming, to-read",to-read,0,
Well-Preserved: Recipes and Techniques for Putting Up Small Batches of Seasonal Foods,Eugenia Bone,0,3.83,"farming, to-read",to-read,0,
"The Rodale Book of Composting, Newly Revised and Updated: Simple Methods to Improve Your Soil, Recycle Waste, Grow Healthier Plants, and Create an Earth-Friendly Garden (Rodale Classics)",Grace Gershuny,0,4.1,"farming, to-read",to-read,0,
The Backyard Beekeeper - Revised and Updated: An Absolute Beginner's Guide to Keeping Bees in Your Yard and Garden,Kim Flottum,0,4.33,"to-read, farming",to-read,0,
Home Cheese Making: Recipes for 75 Delicious Cheeses,Ricki Carroll,0,4.14,"to-read, farming",to-read,0,
Backyard Market Gardening,Andy   Lee,0,3.55,"to-read, farming",to-read,0,
Carrots Love Tomatoes: Secrets of Companion Planting for Successful Gardening,Louise Riotte,0,4.03,"to-read, farming",to-read,0,
The Backyard Homestead Guide To Raising Farm Animals,Gail Damerow,0,4.24,"to-read, farming",to-read,0,
Roses Love Garlic: Companion Planting and Other Secrets of Flowers,Louise Riotte,0,3.96,"to-read, farming",to-read,0,